algorithm,level,k,query_type,run_id,struct_id,assignment,estimated_cost,estimated_latency,estimated_energy,estimated_qoa,is_pareto,time_s
DP+Delta,0,1,Art,0,0,"(0,)",4.078e-06,22.1416472,14.3851576,0.059,True,0.019968032836914062
DP+Delta,0,1,Art,0,0,"(1,)",7.359e-06,20.07,14.118576,0.354,True,0.019968032836914062
DP+Delta,0,1,Art,0,0,"(2,)",9.684e-06,19.1732854,14.38,0.03,False,0.019968032836914062
DP+Delta,0,1,Art,0,0,"(3,)",8.819999999999999e-06,12.911264400000002,9.0165486,0.08,True,0.019968032836914062
DP+Delta,0,1,Art,0,0,"(4,)",1.233e-05,8.040593,11.1967086,0.1,True,0.019968032836914062
MOQO,0,1,Art,0,0,"(3,)",8.819999999999999e-06,12.911264400000002,9.0165486,0.08,True,1.3001809120178223
MOQO,0,1,Art,0,0,"(4,)",1.233e-05,8.040593,11.1967086,0.1,True,1.3001809120178223
MOQO,0,1,Art,0,0,"(0,)",4.078e-06,22.1416472,14.3851576,0.059,True,1.3001809120178223
MOQO,0,1,Art,0,0,"(1,)",7.359e-06,20.07,14.118576,0.354,True,1.3001809120178223
MOQO,0,1,Art,1,0,"(4,)",1.233e-05,8.040593,11.1967086,0.1,True,1.3001258373260498
MOQO,0,1,Art,1,0,"(3,)",8.819999999999999e-06,12.911264400000002,9.0165486,0.08,True,1.3001258373260498
MOQO,0,1,Art,1,0,"(1,)",7.359e-06,20.07,14.118576,0.354,True,1.3001258373260498
MOQO,0,1,Art,1,0,"(0,)",4.078e-06,22.1416472,14.3851576,0.059,True,1.3001258373260498
MOQO,0,1,Art,2,0,"(0,)",4.078e-06,22.1416472,14.3851576,0.059,True,1.3001809120178223
MOQO,0,1,Art,2,0,"(3,)",8.819999999999999e-06,12.911264400000002,9.0165486,0.08,True,1.3001809120178223
MOQO,0,1,Art,2,0,"(4,)",1.233e-05,8.040593,11.1967086,0.1,True,1.3001809120178223
MOQO,0,1,Art,2,0,"(1,)",7.359e-06,20.07,14.118576,0.354,True,1.3001809120178223
DP+Delta,0,1,Geography,0,0,"(0,)",3.882e-06,20.744462333333335,13.477423666666668,0.059,True,0.0064640045166015625
DP+Delta,0,1,Geography,0,0,"(1,)",6.801666666666666e-06,18.55,13.049306666666666,0.354,True,0.0064640045166015625
DP+Delta,0,1,Geography,0,0,"(2,)",9.72e-06,18.399954000000005,13.8,0.03,True,0.0064640045166015625
DP+Delta,0,1,Geography,0,0,"(3,)",1.072e-05,12.908069333333335,9.014317333333333,0.08,True,0.0064640045166015625
DP+Delta,0,1,Geography,0,0,"(4,)",1.176e-05,7.54929,10.512558,0.1,True,0.0064640045166015625
MOQO,0,1,Geography,0,0,"(3,)",1.072e-05,12.908069333333335,9.014317333333333,0.08,True,1.3001978397369385
MOQO,0,1,Geography,0,0,"(2,)",9.72e-06,18.399954000000005,13.8,0.03,True,1.3001978397369385
MOQO,0,1,Geography,0,0,"(4,)",1.176e-05,7.54929,10.512558,0.1,True,1.3001978397369385
MOQO,0,1,Geography,0,0,"(0,)",3.882e-06,20.744462333333335,13.477423666666668,0.059,True,1.3001978397369385
MOQO,0,1,Geography,0,0,"(1,)",6.801666666666666e-06,18.55,13.049306666666666,0.354,True,1.3001978397369385
